topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale,_empty_kw_ratio
89,"hate, hated, loathe, hating, hates, loathed, dislike, shopping, method, survival",27,"['hate', 'hated', 'loathe', 'hating', 'hates', 'loathed', 'dislike', 'shopping', 'method', 'survival', 'despised', 'hatea', 'truly', 'perverse', 'word', 'absolutely', 'person', 'things', 'particular', 'despise', 'uniform', 'resort', 'beaten', 'hatred', 'loved', 'baking', 'guts']",Emotional Argument,The couple argues heatedly in their living room.,,,False,,4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),,,,high,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around expressions of hatred and dislike, suggesting a conflict or separation between the heroine and hero. The main taxonomy category 'Conflict, Distance & Breakup Threats' further supports this interpretation.",0.0
90,"hospital, surgeon, surgery, doctors, trauma, doctora, medical, appointment, er, clinic",27,"['hospital', 'surgeon', 'surgery', 'doctors', 'trauma', 'doctora', 'medical', 'appointment', 'er', 'clinic', 'operating', 'specialist', 'patients', 'hospitals', 'nurses', 'tests', 'attending', 'anesthesiologist', 'visit', 'spoke', 'personnel', 'paged', 'physician', 'consult', 'room', 'results', 'scrubs']",Medical Appointment At Hospital,"The couple finds themselves in the hospital, discussing their medical appointment.","domestic_life, social_setting","setting:hospital, activity:discussion",False,"The top keywords 'hospital', 'appointment', and 'medical' indicate a medical setting. The snippets confirm this, with 'in the hospital' and 'i see it all the time at the hospital' suggesting a scene at a hospital. The label 'Medical Appointment At Hospital' reflects this, and the primary categories 'domestic_life' and 'social_setting' are chosen because the scene involves a couple discussing their medical appointment, which is a part of their daily life and occurs in a social setting.",6.5,"Law, Medicine, Education & Formal Institutions","Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets indicate that this topic is about the heroine's work environment, specifically a hospital. It does not primarily realise any of Radway's 13 functions in the heroine–hero romance arc.",0.0
91,"memories, remember, memory, remembered, remembering, childhood, amnesia, vivid, recall, ones",27,"['memories', 'remember', 'memory', 'remembered', 'remembering', 'childhood', 'amnesia', 'vivid', 'recall', 'ones', 'flashback', 'repressed', 'years', 'newer', 'reliving', 'events', 'tales', 'mind', 'memoriesa', 'retrograde', 'times', 'fragments', 'plagued', 'losing', 'replace', 'forget', 'list']",Vivid Childhood Memories,"She recalled vivid memories of her childhood, reliving past events that had been repressed for years.","romance_core, domestic_life","setting:memory, activity:remembering",False,"The top keywords 'memories', 'memory', 'childhood', and 'flashback' indicate a focus on past events. The snippets confirm these are vivid, repressed memories that the character is recalling.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R1,Heroine's social identity is destroyed,,I,Initial Conflict & Isolation,False,medium,"The topic's focus on 'memories' and 'would stay with me forever' suggests a regret or loss that the heroine is experiencing, which aligns with R1 - Heroine's social identity is destroyed. The lack of keywords and previous label/scene summary makes it difficult to be more confident, but the topic's placement in the 'Negative Emotions & Distress' category supports this interpretation.",0.0
92,"furniture, fireplace, ceiling, windows, chairs, floors, wood, walls, floor, ceilings",27,"['furniture', 'fireplace', 'ceiling', 'windows', 'chairs', 'floors', 'wood', 'walls', 'floor', 'ceilings', 'leather', 'rugs', 'room', 'decorated', 'marble', 'balcony', 'castle', 'huge', 'modern', 'large', 'sofa', 'rooms', 'area', 'chandelier', 'plush', 'couches', 'mansion']",Luxury Hotel Suite,"The couple explores a lavish hotel suite, admiring the beige furniture, brown wood tables, and floor-to-ceiling windows.","domestic_life, social_setting","setting:hotel_suite, activity:exploring",False,"The top keywords 'furniture', 'fireplace', 'ceiling', 'windows', and 'chairs' describe the interior of a hotel suite. The snippets confirm this, mentioning details like 'matching beige furniture', 'floor-to-ceiling windows', and 'hunter-green' paint. The label and categories reflect this setting and the activity of exploring it.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on describing physical spaces and furniture, which is background context for the romance narrative. It does not directly involve the heroine–hero relationship or their emotional journey.",0.0
93,"parents, apologies, died, sister, ex, dada, brogue, pleasure, woozy, daughter",27,"['parents', 'apologies', 'died', 'sister', 'ex', 'dada', 'brogue', 'pleasure', 'woozy', 'daughter', 'drama', 'shameless', 'moma', 'fault', 'acquisition', 'tough', 'ego', 'newest', 'grandson', 'clarified', 'world', 'filter', 'added', 'thoughts', 'flush', 'doesna', 'consultant']",Family Apologies And Reconciliation,"The family gathers around the table, with parents and siblings present, as apologies are exchanged and past faults are addressed.","domestic_life, relationship_conflict","setting:table, activity:apologizing",False,"The top keywords 'parents', 'apologies', 'sister', 'ex', and 'fault' indicate a family-focused scene centered around making amends. The snippets confirm this, showing conversations around a table with family members present.",5.1,Family & Kinship,Social World Outside Couple,4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),high,False,R13,Heroine's identity is restored,,III,Commitment & Restoration,False,medium,"The topic's main taxonomy category is 'Family & Kinship', which often signals a resolution or commitment phase in romance narratives. The secondary category 'Reconciliation, Commitments & HEA' further supports this. The snippets suggest a conversation about family backgrounds and an apology, which are common in the commitment and restoration phase of a romance.",0.0
94,"anger, rage, simmering, blood, frustration, enraged, temper, veins, boiled, surges",27,"['anger', 'rage', 'simmering', 'blood', 'frustration', 'enraged', 'temper', 'veins', 'boiled', 'surges', 'stomach', 'burns', 'begins', 'cooled', 'laces', 'guts', 'flares', 'rises', 'inside', 'replaced', 'explodes', 'spine', 'boil', 'pulses', 'irrational', 'boiling', 'rages']",Anger Management In Relationship,The couple struggles with managing their anger towards each other during an argument.,"relationship_conflict, domestic_life","setting:kitchen, activity:arguing",False,"The keywords 'anger', 'rage', and 'frustration' indicate a high emotional state, while 'relationship' suggests a romantic context. The snippets confirm an argumentative scene, with 'there was real anger there' and 'is it anger or is it tension?' supporting the label and categories.",7.2,"Violence, Threats & Coercion","Conflict, Risk & Harm",4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic keywords and snippets suggest anger or tension between the hero and heroine, which is a common narrative function in Phase I of Radway's model. The topic's placement under 'Conflict, Distance & Breakup Threats' in the Stage 2 taxonomy further supports this interpretation.",0.0
95,"harpera, spoke, worlds, asked, spending, personal, client, consult, consolidate, fib",27,"['harpera', 'spoke', 'worlds', 'asked', 'spending', 'personal', 'client', 'consult', 'consolidate', 'fib', 'work', 'daughtera', 'helped', 'revised', 'trauma', 'dissolve', 'collide', 'tyrant', 'evening', 'best', 'called', 'months', 'tell', 'saving', 'presenting', 'daughter', 'pitch']",Work-related Evening Call,She makes a work-related call in the evening.,"domestic_life, work_or_school","setting:evening, activity:calling",False,"The top keyword 'evening' and snippet 'harperâs gone to call him.' indicate a typical evening scene. The keyword 'work' suggests a work-related activity, which is further supported by the snippet 'of course harperâs going to make it.' The label and categories reflect this specific, non-sexual scene.",6.4,"Money, Housing & Economic Security","Work, Wealth, Status & Institutions",,,,medium,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic's keywords and representative snippets focus on a character named Harper, but do not mention the heroine or hero, or any romantic interaction. The Stage 2 taxonomy places it under 'Money, Housing & Economic Security', further indicating it's not part of the heroine–hero narrative arc.",0.0
96,"whispers, whispered, whisper, softly, breaking, ear, plea, murmured, soft, someday",27,"['whispers', 'whispered', 'whisper', 'softly', 'breaking', 'ear', 'plea', 'murmured', 'soft', 'someday', 'muffled', 'husky', 'hear', 'hoarsely', 'blessed', 'dramatically', 'whistle', 'yesa', 'begging', 'low', 'cracking', 'dona', 'breathy', 'playfully', 'barroom', 'realness', 'sshh']",Whispered Love Confessions,She whispers her love in his ear.,"romance_core, relationship_conflict","setting:bedroom, activity:whispering",False,"The top keywords 'whispers', 'whisper', and 'ear' indicate a scene where someone is whispering. The snippets show this is often used to express love or affection, hence the label 'Whispered Love Confessions'. The primary categories 'romance_core' and 'relationship_conflict' are chosen because these whispers often convey deep emotions and can also hint at tension or uncertainty in the relationship.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,medium,"The topic's representative snippets show the heroine expressing tender or affectionate words ('this is love', 'weston', 'holy fuck'), indicating a warm response to the hero. This aligns with Radway's function R9, which describes the heroine responding warmly to the hero's tenderness.",0.0
97,"closed, eyelids, shut, sockets, squeeze, vision, fluttered, narrow, bulge, nearly",27,"['closed', 'eyelids', 'shut', 'sockets', 'squeeze', 'vision', 'fluttered', 'narrow', 'bulge', 'nearly', 'opened', 'flutter', 'squeezed', 'eyeballs', 'blink', 'sting', 'leaking', 'snap', 'wide', 'fly', 'surroundings', 'accord', 'blinking', 'stinging', 'drifted', 'fall', 'blotted']",Eyes Closed In Intimacy,She closed her eyes as he leaned in for a kiss.,"romance_core, physical_affection","setting:bedroom, activity:kissing",False,"The top keyword 'closed' and 'eyelids' indicate an action, while 'intimacy' suggests a romantic or sexual context. The snippets confirm this is a moment of intimacy, with the action of closing eyes repeated.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's focus on closing eyes could suggest a moment of vulnerability or intimacy, which is common in Phase II when the hero starts to show tenderness towards the heroine.",0.0
98,"dantea, engagement, pudding, glinted, granite, excused, growled, parents, assault, warning",27,"['dantea', 'engagement', 'pudding', 'glinted', 'granite', 'excused', 'growled', 'parents', 'assault', 'warning', 'europe', 'conversation', 'ugliest', 'engaged', 'shut', 'kaia', 'di', 'discussed', 'pickles', 'fianca', 'woulda', 'hadna', 'shards', 'touched', 'topic', 'musta', 'arranged']",Parental Warning About Engagement,"Dante's parents warn him about his engagement, expressing their concerns.","relationship_conflict, domestic_life","setting:home, activity:warning",False,The top keyword 'engagement' and the snippets mentioning 'Dante's parents' and 'warning' indicate a scene where parents are expressing their concerns about their son's engagement.,5.1,Family & Kinship,Social World Outside Couple,4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on characters outside the main couple (Dante's mother, his butler), and the main taxonomy category is 'Family & Kinship (Social World Outside Couple)', indicating that this topic does not primarily realise any of Radway's 13 functions in the heroine–hero romance arc.",0.0
99,"loved, loves, adored, utterly, madly, vacuum, told, despite, desperately, falling",27,"['loved', 'loves', 'adored', 'utterly', 'madly', 'vacuum', 'told', 'despite', 'desperately', 'falling', 'truly', 'denying', 'cared', 'completely', 'thought', 'really', 'learning', 'matter', 'mezcal', 'pangs', 'turd', 'damned', 'unravels', 'doted', 'bossing', 'irrevocably', 'abashed']",Desire And Regret Conversation,"The couple, sitting at the table, discusses their feelings of desire and regret from the past.","romance_core, relationship_conflict","setting:table, activity:discussing_feelings",False,"The keywords 'desirable', 'understandable', 'wishes', and 'regret' along with the snippets mentioning love and confusion about feelings support a label focused on a conversation about desire and regret. The setting around a table and the activity of discussing feelings are clearly indicated in the snippets.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,medium,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic has no keywords, label, or scene summary, and it's not categorized under romance_core or relationship dynamics. It's about general emotions, not specifically related to the heroine–hero arc.",0.0
100,"roses, flowers, bouquet, florist, petals, yellow, lilies, vase, daisies, dozen",27,"['roses', 'flowers', 'bouquet', 'florist', 'petals', 'yellow', 'lilies', 'vase', 'daisies', 'dozen', 'vases', 'wildflowers', 'sunflowers', 'favorite', 'peonies', 'sent', 'delicate', 'orchids', 'bloom', 'greenhouse', 'purple', 'fresh', 'tulips', 'centerpiece', 'table', 'knitted', 'arrangement']",Gifting White Roses,"He presents her with a bouquet of white roses, her favorite.","romance_core, domestic_life","setting:home, activity:gift_giving",False,"The top keywords 'roses', 'flowers', 'bouquet', and 'white' indicate a focus on roses, specifically white ones. The snippets show a context of giving or discussing these flowers, suggesting a romantic gesture. The label 'Gifting White Roses' captures this scene, and the primary categories 'romance_core' and 'domestic_life' reflect the emotional bonding and home setting implied. The secondary categories 'setting:home' and 'activity:gift_giving' further specify the location and action.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around the hero remembering and acting on the heroine's favorite flowers, indicating tender and caring behavior towards her, which aligns with Radway's function R8.",0.0
101,"gretchena, bronta, library, letter, letters, kleenex, headed, writer, gave, racked",27,"['gretchena', 'bronta', 'library', 'letter', 'letters', 'kleenex', 'headed', 'writer', 'gave', 'racked', 'sister', 'cheerfully', 'sighed', 'began', 'comebacks', 'acerbic', 'widened', 'bit', 'pert', 'tragic', 'raised', 'vibrant', 'likes', 'greenhouse', 'frowned', 'weeping', 'unable']",Sister's Tragic Letters,The writer reads his sister's tragic letters in the library.,"romance_core, relationship_conflict","setting:library, activity:reading",False,"The top keywords 'library', 'letters', and 'sister' indicate a scene centered around reading letters. The keyword 'tragic' suggests emotional content, leading to the 'romance_core' and 'relationship_conflict' primary categories. The scene summary reflects the most typical scenario implied by the keywords and snippets.",5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic has no keywords, label, or scene summary, and it's not assigned any primary or secondary categories. It's not part of the 'Relationship Trajectory (Main Couple)' or 'Sexuality, Attraction & Intimacy' taxonomy groups, so it doesn't primarily realise any of Radway's 13 functions in the heroine–hero romance arc.",0.0
102,"hair, strands, brushes, grip, strand, handful, hand, runs, threads, gently",27,"['hair', 'strands', 'brushes', 'grip', 'strand', 'handful', 'hand', 'runs', 'threads', 'gently', 'tugs', 'strokes', 'run', 'drags', 'grabs', 'tangled', 'pushes', 'threading', 'ran', 'gripping', 'lock', 'pulling', 'locks', 'threaded', 'tightening', 'forehead', 'gripped']",Hair Tugging During game,"He grips her hair, tugging gently as they kiss passionately.","sexual_content, romance_core","setting:bedroom, activity:kissing, sexual:hair_pulling",False,"The top keywords 'hair', 'strands', 'grip', and 'tugs' along with the snippets showing hair being grabbed during intimate moments support the label and categories.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category of 'Explicit Sexual Acts' directly corresponds to Radway's function R12, which involves explicit sexual and emotional union between the hero and heroine. The representative snippets, such as 'his hands were in my hair again, and his lips were on mine', clearly depict a sexual encounter, making R12 the most fitting function.",0.0
103,"nude, nudes, seen, completely, nakedness, standing, stark, gloriously, wet, half",27,"['nude', 'nudes', 'seen', 'completely', 'nakedness', 'standing', 'stark', 'gloriously', 'wet', 'half', 'lying', 'alleged', 'underneath', 'bed', 'tub', 'prefer', 'conveniently', 'youa', 'body', 'clothes', 'sheet', 'fully', 'adama', 'display', 'blush', 'practically', 'desperate']",Nude Bed Scene,"She stands naked in the bedroom, her body glistening with sweat.","sexual_content, domestic_life","setting:bedroom, sexual:nudity",False,"The top keywords 'nude', 'nakedness', 'bed' and the snippets describing a naked woman in a bedroom clearly support the label 'Nude Bed Scene'. The primary categories 'sexual_content' and 'domestic_life' are chosen because the topic revolves around explicit sexual content happening in a domestic setting. The secondary categories 'setting:bedroom' and 'sexual:nudity' are directly inferred from the keywords and snippets.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's keywords and representative snippets ('nude', 'pleasure-filled nude', 'beautiful nude body') explicitly describe sexual acts and the heroine's body, indicating a union scene (R12). The main taxonomy category 'Explicit Sexual Acts' further supports this. There's no indication of early attraction or conflict, making R4 less suitable.",0.0
104,"kelseya, asks, says, pigeon, uh, helpful, sustainable, excited, cork, answers",27,"['kelseya', 'asks', 'says', 'pigeon', 'uh', 'helpful', 'sustainable', 'excited', 'cork', 'answers', 'indecent', 'think', 'pitiful', 'looks', 'absolutely', 'reverse', 'chimes', 'say', 'declined', 'sister', 'turns', 'type', 'claps', 'trying', 'beaming', 'shouts', 'thata']",Sister's Confusing Admissions,"Kelsea struggles to understand her sister's cryptic, emotional admissions.","relationship_conflict, domestic_life","setting:home, activity:confession",False,"The keywords 'sister', 'indecent', 'pitiful', and 'chimes' suggest a tense, emotional conversation. The snippets show Kelsea trying to make sense of her sister's unclear feelings, indicating a scene of relationship conflict within the home.",5.1,Family & Kinship,Social World Outside Couple,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",medium,False,none,None of the above,,NA,Not a narrative function,True,high,"This topic lacks keywords, label, or scene summary, and its Stage 1 categories are empty. The Stage 2 taxonomy places it in 'Family & Kinship' and 'Negative Emotions & Distress', which are not central to the heroine–hero romance arc. The snippets do not suggest any clear narrative function between the heroine and hero.",0.0
105,"hurry, going, live, trippy, goes, pro, prepared, bring, trade, location",27,"['hurry', 'going', 'live', 'trippy', 'goes', 'pro', 'prepared', 'bring', 'trade', 'location', 'monarch', 'places', 'announced', 'brigham', 'tribeca', 'belong', 'place', 'garretta', 'tripping', 'rule', 'looka', 'navigate', 'area', 'announces', 'opposed', 'arrested', 'arrange']",Hurried Conversations,The couple hurriedly discusses their plans in a car.,,,False,,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,medium,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"Heuristic fallback: original classification was 'none', but taxonomy and primary_categories indicate a romance-core topic in group 'Relationship Trajectory (Main Couple)'. Reassigned to R9 (Heroine responds warmly to hero's tenderness).",0.0
106,"wasa, thata, likea, sa, wella, uha, meana, alsoa, thisa, oha",27,"['wasa', 'thata', 'likea', 'sa', 'wella', 'uha', 'meana', 'alsoa', 'thisa', 'oha', 'hmma', 'anda', 'ofa', 'totally', 'knowa', 'meansa', 'verya', 'toucha', 'yesa', 'huha', 'facta', 'thena', 'umma', 'littlea', 'saya', 'beena', 'thoughta']",Nighttime Conversations,"The couple sits together in the dimly lit bedroom, discussing their feelings late into the night.","romance_core, relationship_conflict","setting:bedroom, activity:discussing",False,"The top keywords 'night', 'lines', and 'item' suggest a late-night conversation. The snippets show a repeated pattern of dialogue, indicating a meaningful narrative scene.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"Heuristic fallback: original classification was 'none', but taxonomy and primary_categories indicate a romance-core topic in group 'Relationship Trajectory (Main Couple)'. Reassigned to R9 (Heroine responds warmly to hero's tenderness).",0.0
107,"wasna, didna, matter, sense, true, couldna, happen, happening, hadna, mattered",27,"['wasna', 'didna', 'matter', 'sense', 'true', 'couldna', 'happen', 'happening', 'hadna', 'mattered', 'wasn', 'werena', 'didn', 'work', 'add', 'pundits', 'spoiler', 'make', 'worked', 'strangely', 'case', 'difference', 'shouldna', 'failure', 'alert', 'figure', 'reason']",Unclear Relationship Feelings,"The couple sits at the table, struggling to express their true feelings.","romance_core, relationship_conflict","setting:table, activity:discussion",False,"The keywords 'matter', 'sense', 'true', and 'work' suggest a struggle to understand or express feelings. The snippets show a couple trying to communicate but falling short, indicating unclear relationship feelings.",4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('wasnat', 'until it wasnat', 'still wasnat close enough') suggest a physical or emotional separation between the hero and heroine. The Stage 2 taxonomy group 'Conflict, Distance & Breakup Threats' further supports this interpretation, indicating that the topic typically realises Radway's function R7 in the romance narrative.",0.0
108,"loved, fall, falling, believe, consuming, isna, true, fickle, kind, loves",27,"['loved', 'fall', 'falling', 'believe', 'consuming', 'isna', 'true', 'fickle', 'kind', 'loves', 'make', 'vow', 'hesitate', 'souls', 'supposed', 'deserve', 'conquer', 'epic', 'theirs', 'dona', 'significant', 'want', 'convinced', 'ita', 'believed', 'wasna', 'prove']",Epic Love Confessions,"The couple, in a quiet moment, confesses their deep, long-standing love for each other.","romance_core, relationship_conflict","setting:quiet_moment, activity:love_confession",False,"The top keywords 'fall', 'true', 'loves', 'souls', and 'important' suggest a deep, significant emotional connection. The snippets 'i loved you too much to give you up.', ''[NAME] us a little too much, mom.'', and 'i want to be loved.' all indicate confessions of love, supporting the label and categories.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R10,Heroine reinterprets hero's behaviour as result of previous hurt,,II,Turning Point & Recognition,False,medium,"The topic's keywords and representative snippets suggest a focus on emotional connection and past love, which aligns with the heroine reinterpreting the hero's behavior as a result of previous hurt (R10). The main taxonomy group 'Bonding, Everyday Intimacy & Growth' also supports this interpretation.",0.0
109,"wealthy, richest, millionaire, eligible, billionairea, wealthiest, wealth, worlda, billion, world",27,"['wealthy', 'richest', 'millionaire', 'eligible', 'billionairea', 'wealthiest', 'wealth', 'worlda', 'billion', 'world', 'businessman', 'male', 'dollar', 'net', 'envied', 'bachelor', 'businessmen', 'article', 'spoiled', 'lifestyle', 'folks', 'cocky', 'planet', 'royalty', 'leslienorthbooks', 'overachieving', 'lifestyles']",Wealthy Businessman's Lifestyle,The wealthy businessman discusses business deals over dinner at an upscale restaurant.,"social_setting, romance_core","setting:restaurant, activity:discussing_business",False,"The top keywords 'wealthy', 'businessman', and 'world' indicate a focus on the businessman's lifestyle. The snippets mention dinner and business discussions, supporting the 'social_setting' and 'romance_core' categories.",6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on wealth and status, which are not central to the heroine–hero relationship arc. They do not primarily realise any of Radway's 13 functions.",0.0
110,"listen, asked, listening, demanded, replied, heard, whata, downplay, reply, everythinga",27,"['listen', 'asked', 'listening', 'demanded', 'replied', 'heard', 'whata', 'downplay', 'reply', 'everythinga', 'feverish', 'spoke', 'uh', 'confusion', 'condition', 'questioned', 'apprehensively', 'mort', 'intended', 'groused', 'billya', 'bolstered', 'expect', 'haltingly', 'say', 'heara', 'psych']",Intense Listening Conversation,"The couple sits unblinking, feverishly listening to each other's confessions in a quiet room.","romance_core, relationship_conflict","setting:quiet_room, activity:confessing",False,"The top keywords 'listening', 'reply', and 'confusion' indicate a conversation, while 'feverish' and 'unblinking' suggest intense emotional involvement. The snippets confirm this, showing characters listening intently to each other.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's keywords and representative snippets suggest a focus on active listening, which is a form of tender behavior often exhibited by the hero towards the heroine in Phase II of the romance narrative, as described in Radway's function R8.",0.0
111,"dreams, nightmare, dreamed, dreaming, nightmares, true, wake, worst, vivid, fantasies",27,"['dreams', 'nightmare', 'dreamed', 'dreaming', 'nightmares', 'true', 'wake', 'worst', 'vivid', 'fantasies', 'dreamt', 'pipe', 'memoriesa', 'dreamy', 'moonstar', 'remember', 'imagined', 'vision', 'wildest', 'waterfront', 'awoke', 'having', 'fantasy', 'remembered', 'journal', 'currently', 'years']",Nightmare Confessions,The couple shares their deepest fears and insecurities while lying in bed at night.,"romance_core, relationship_conflict","setting:bedroom, activity:confessing",False,"The top keywords 'dreams', 'nightmare', 'dreaming', and 'nightmares' indicate a focus on dreams and fears. The snippets show a conversation about dreams, suggesting emotional intimacy and potential conflict.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's distress and anger, expressed through accusations and blame ('why are you ruining my dreams?'), which aligns with Radway's R2 function of the heroine reacting antagonistically to the hero.",0.0
112,"rain, winter, wet, raining, chilly, icy, snowing, rained, flakes, freezing",27,"['rain', 'winter', 'wet', 'raining', 'chilly', 'icy', 'snowing', 'rained', 'flakes', 'freezing', 'colder', 'glacier', 'weather', 'outside', 'sky', 'snowy', 'rainstorm', 'skies', 'wind', 'air', 'rains', 'soaked', 'umbrella', 'temperature', 'snowflakes', 'sheets', 'wetter']",Snowy Winter Walk,"The couple walks through the snowy streets, flakes falling around them.","romance_core, domestic_life","setting:outdoors, activity:walking",False,"The top keywords 'rain', 'winter', 'snowy', 'flakes' indicate a snowy setting. The snippets like 'make it rain' and '[NAME] i ask' suggest a couple engaged in an activity together, likely walking given no other specific actions are mentioned.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets ('rain.', 'make it rain.', 'the [NAME] i ask.') do not contain any direct references to the heroine, hero, or their relationship. The main taxonomy category 'Public & Leisure Spaces' further supports this, as it indicates the topic is about general environments or activities, not the core romance narrative.",0.0
113,"daphnea, audreya, drugs, curious, sister, shrugged, volunteer, continued, suspected, labela",27,"['daphnea', 'audreya', 'drugs', 'curious', 'sister', 'shrugged', 'volunteer', 'continued', 'suspected', 'labela', 'wiped', 'sad', 'gave', 'determined', 'irritably', 'skinny', 'incidents', 'clean', 'cigarette', 'tabloid', 'gone', 'relished', 'look', 'furious', 'staggered', 'troubled', 'sizes']",Sister's Drug Struggle,"The sister, determined to help, visits Daphne in her apartment.","relationship_conflict, domestic_life","setting:apartment, activity:visiting",False,"The keywords 'sister', 'drugs', and 'daphne' indicate a relationship focus. The snippets show the sister's determination to help Daphne, placing this topic in 'relationship_conflict' and 'domestic_life'. The setting is Daphne's apartment, as shown in the snippets.",5.1,Family & Kinship,Social World Outside Couple,,,,medium,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets indicate that this topic is about the heroine's relationship with her family or friends, not her romantic partner. It does not primarily realise any of Radway's 13 functions in the heroine–hero romance arc.",0.0
114,"taga, asked, drewa, wasna, replied, enthralled, hadna, kadea, choices, deter",27,"['taga', 'asked', 'drewa', 'wasna', 'replied', 'enthralled', 'hadna', 'kadea', 'choices', 'deter', 'brothera', 'reluctance', 'scaring', 'didna', 'grumbled', 'ideal', 'brief', 'disagree', 'isaa', 'assessing', 'approved', 'assistants', 'saved', 'believed', 'gut', 'cheated', 'tequila']",Reluctant Relationship Choices,"Isa hesitates to share her top choices for Eli's new PA, causing tension with Melanie.","relationship_conflict, domestic_life","setting:home, activity:arguing",False,"The keywords 'choices', 'reluctance', 'expectations', and 'approval' suggest a conflict over decisions. The snippets show a disagreement between characters about who should be chosen for a role, creating tension in their relationship.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),5.2,Friends & Social Circles,Social World Outside Couple,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around a promise made by the hero (Isa) to the heroine (Melanie) regarding their child's nanny, which is later revealed to be broken. This revelation leads to a separation or misunderstanding between the couple, fitting R7 (separation). The topic's placement under 'Secrets, Misunderstandings & Hidden Information' in the taxonomy further supports this interpretation.",0.0
